timestamp,bot_name,action,symbol,price,quantity,amount_usdt,pnl,pnl_percent,reasoning
2026-07-30T21:46:11.698188,TestBot,BUY,BTC/USDT,65000.000000,0.001000,65.00,0.00,0.00,Test buy
2026-07-30T21:46:11.699189,TestBot,SELL,BTC/USDT,66000.000000,0.001000,66.00,1.00,1.54,Test sell
2026-07-30T22:08:21.612141,ArbitrageScanner,SIGNAL,GRT/USDT,0.014790,0.000000,0.00,0.00,0.00,Buy binance Sell okx Spread 0.406%
2026-07-30T22:08:21.613142,ArbitrageScanner,SIGNAL,PEPE/USDT,0.000003,0.000000,0.00,0.00,0.00,Buy binance Sell okx Spread 0.399%
2026-07-30T22:08:21.614144,ArbitrageScanner,SIGNAL,SNX/USDT,0.208000,0.000000,0.00,0.00,0.00,Buy binance Sell bybit Spread 0.385%
2026-07-30T22:09:40.260090,ArbitrageScanner,SIGNAL,GRT/USDT,0.014790,0.000000,0.00,0.00,0.00,Buy binance Sell okx Spread 0.406%
2026-07-30T22:09:40.262092,ArbitrageScanner,SIGNAL,SNX/USDT,0.208000,0.000000,0.00,0.00,0.00,Buy binance Sell bybit Spread 0.337%
2026-07-30T22:09:40.263091,ArbitrageScanner,SIGNAL,ENJ/USDT,0.024840,0.000000,0.00,0.00,0.00,Buy binance Sell bybit Spread 0.282%
2026-07-30T22:11:00.356160,ArbitrageScanner,SIGNAL,ENJ/USDT,0.024840,0.000000,0.00,0.00,0.00,Buy binance Sell bybit Spread 0.282%
2026-07-30T22:11:00.358162,ArbitrageScanner,SIGNAL,BAT/USDT,0.066150,0.000000,0.00,0.00,0.00,Buy bybit Sell okx Spread 0.257%
2026-07-30T22:11:00.359062,ArbitrageScanner,SIGNAL,SNX/USDT,0.208000,0.000000,0.00,0.00,0.00,Buy binance Sell bybit Spread 0.240%
2026-07-30T22:12:21.438059,ArbitrageScanner,SIGNAL,SNX/USDT,0.207000,0.000000,0.00,0.00,0.00,Buy binance Sell bybit Spread 0.483%
2026-07-30T22:12:21.439059,ArbitrageScanner,SIGNAL,PEPE/USDT,0.000003,0.000000,0.00,0.00,0.00,Buy binance Sell bybit Spread 0.290%
2026-07-30T22:12:21.441063,ArbitrageScanner,SIGNAL,BAT/USDT,0.066340,0.000000,0.00,0.00,0.00,Buy bybit Sell okx Spread 0.286%
2026-07-30T22:13:37.668200,ArbitrageScanner,SIGNAL,SNX/USDT,0.207000,0.000000,0.00,0.00,0.00,Buy binance Sell bybit Spread 0.435%
2026-07-30T22:13:37.669202,ArbitrageScanner,SIGNAL,BAT/USDT,0.066340,0.000000,0.00,0.00,0.00,Buy bybit Sell okx Spread 0.286%
2026-07-30T22:13:37.670202,ArbitrageScanner,SIGNAL,ZRX/USDT,0.078700,0.000000,0.00,0.00,0.00,Buy binance Sell okx Spread 0.254%
2026-07-30T22:14:55.634851,ArbitrageScanner,SIGNAL,GRT/USDT,0.014790,0.000000,0.00,0.00,0.00,Buy binance Sell okx Spread 0.270%
2026-07-30T22:14:55.636854,ArbitrageScanner,SIGNAL,ZRX/USDT,0.078700,0.000000,0.00,0.00,0.00,Buy binance Sell okx Spread 0.254%
2026-07-30T22:14:55.637853,ArbitrageScanner,SIGNAL,BAT/USDT,0.066340,0.000000,0.00,0.00,0.00,Buy bybit Sell binance Spread 0.241%
2026-07-30T22:15:35.756569,DexSniper,BUY,FNRK,0.000000,0.000000,0.05,0.00,0.00,Sniped FENRIK (FNRK)
2026-07-30T22:15:38.834177,DexSniper,BUY,FNRK,0.000000,0.000000,0.05,0.00,0.00,Sniped FENRIK
2026-07-30T22:16:04.391605,DCA_Bot,BUY,BTC/USDT,64812.560000,0.000771,50.00,0.00,0.00,DCA buy
2026-07-30T22:16:15.392517,ArbitrageScanner,SIGNAL,ZRX/USDT,0.078620,0.000000,0.00,0.00,0.00,Buy bybit Sell okx Spread 0.356%
2026-07-30T22:16:15.394517,ArbitrageScanner,SIGNAL,GRT/USDT,0.014790,0.000000,0.00,0.00,0.00,Buy binance Sell okx Spread 0.270%
2026-07-30T22:16:15.395519,ArbitrageScanner,SIGNAL,ENJ/USDT,0.024800,0.000000,0.00,0.00,0.00,Buy bybit Sell okx Spread 0.242%
2026-07-30T22:17:32.324533,ArbitrageScanner,SIGNAL,PEPE/USDT,0.000003,0.000000,0.00,0.00,0.00,Buy binance Sell bybit Spread 0.326%
2026-07-30T22:17:32.325534,ArbitrageScanner,SIGNAL,ZRX/USDT,0.078700,0.000000,0.00,0.00,0.00,Buy binance Sell okx Spread 0.254%
2026-07-30T22:17:32.326535,ArbitrageScanner,SIGNAL,ENJ/USDT,0.024800,0.000000,0.00,0.00,0.00,Buy bybit Sell okx Spread 0.242%
2026-07-30T22:18:42.736711,DexSniper,BUY,BANG,0.000000,0.000000,0.05,0.00,0.00,Sniped BANG (BANG)
2026-07-30T22:18:50.039645,ArbitrageScanner,SIGNAL,ZRX/USDT,0.078700,0.000000,0.00,0.00,0.00,Buy binance Sell okx Spread 0.254%
2026-07-30T22:18:50.041647,ArbitrageScanner,SIGNAL,ENJ/USDT,0.024800,0.000000,0.00,0.00,0.00,Buy bybit Sell okx Spread 0.242%
2026-07-30T22:18:50.042648,ArbitrageScanner,SIGNAL,1INCH/USDT,0.085700,0.000000,0.00,0.00,0.00,Buy binance Sell okx Spread 0.163%
2026-07-30T22:19:19.023722,DexSniper,BUY,BSC,0.000000,0.000000,0.05,0.00,0.00,Sniped BSCCORESuper
2026-07-30T22:20:07.009159,ArbitrageScanner,SIGNAL,ZRX/USDT,0.078700,0.000000,0.00,0.00,0.00,Buy binance Sell okx Spread 0.254%
2026-07-30T22:20:07.011161,ArbitrageScanner,SIGNAL,ENJ/USDT,0.024800,0.000000,0.00,0.00,0.00,Buy bybit Sell okx Spread 0.242%
2026-07-30T22:20:07.013162,ArbitrageScanner,SIGNAL,SAND/USDT,0.040990,0.000000,0.00,0.00,0.00,Buy bybit Sell okx Spread 0.195%
2026-07-30T22:20:23.095489,DexSniper,BUY,TikTok,0.000000,0.000000,0.05,0.00,0.00,Sniped TikTok
2026-07-30T22:21:32.203998,ArbitrageScanner,SIGNAL,1INCH/USDT,0.085600,0.000000,0.00,0.00,0.00,Buy binance Sell okx Spread 0.257%
2026-07-30T22:21:32.205998,ArbitrageScanner,SIGNAL,ZRX/USDT,0.078700,0.000000,0.00,0.00,0.00,Buy binance Sell okx Spread 0.254%
2026-07-30T22:21:32.208001,ArbitrageScanner,SIGNAL,SAND/USDT,0.040990,0.000000,0.00,0.00,0.00,Buy bybit Sell okx Spread 0.195%
2026-07-30T22:22:49.911701,DexSniper,BUY,BANK,0.000000,0.000000,0.05,0.00,0.00,Sniped Lorenzo Governance Token (BANK)
2026-07-30T22:22:50.892895,ArbitrageScanner,SIGNAL,PEPE/USDT,0.000003,0.000000,0.00,0.00,0.00,Buy bybit Sell binance Spread 0.252%
2026-07-30T22:22:50.893896,ArbitrageScanner,SIGNAL,ZRX/USDT,0.078740,0.000000,0.00,0.00,0.00,Buy bybit Sell binance Spread 0.203%
2026-07-30T22:22:50.895900,ArbitrageScanner,SIGNAL,SHIB/USDT,0.000005,0.000000,0.00,0.00,0.00,Buy binance Sell okx Spread 0.195%
2026-07-30T22:23:23.324289,DexSniper,BUY,OUSTon,0.000000,0.000000,0.05,0.00,0.00,Sniped Ouster Tokenized Stock (Ondo) (OUSTon)
2026-07-30T22:23:43.239984,GridML,LIMIT_BUY,ETH/USDT,1879.848703,0.026598,50.00,0.00,0.00,Grid order
2026-07-30T22:23:43.242986,GridML,LIMIT_BUY,ETH/USDT,1886.159642,0.026509,50.00,0.00,0.00,Grid order
2026-07-30T22:23:43.243988,GridML,LIMIT_BUY,ETH/USDT,1892.470581,0.026420,50.00,0.00,0.00,Grid order
2026-07-30T22:23:43.244988,GridML,LIMIT_BUY,ETH/USDT,1898.781520,0.026333,50.00,0.00,0.00,Grid order
2026-07-30T22:23:43.245989,GridML,LIMIT_BUY,ETH/USDT,1905.092459,0.026245,50.00,0.00,0.00,Grid order
2026-07-30T22:23:43.245989,GridML,LIMIT_SELL,ETH/USDT,1911.403398,0.026159,50.00,0.00,0.00,Grid order
2026-07-30T22:23:43.246991,GridML,LIMIT_SELL,ETH/USDT,1917.714338,0.026073,50.00,0.00,0.00,Grid order
2026-07-30T22:23:43.247992,GridML,LIMIT_SELL,ETH/USDT,1924.025277,0.025987,50.00,0.00,0.00,Grid order
2026-07-30T22:23:43.248993,GridML,LIMIT_SELL,ETH/USDT,1930.336216,0.025902,50.00,0.00,0.00,Grid order
2026-07-30T22:23:43.249994,GridML,LIMIT_SELL,ETH/USDT,1936.647155,0.025818,50.00,0.00,0.00,Grid order
2026-07-30T22:24:12.434041,ArbitrageScanner,SIGNAL,ZRX/USDT,0.078740,0.000000,0.00,0.00,0.00,Buy bybit Sell binance Spread 0.203%
