2026-07-30 19:28:33 INFO     | DCA_Bot              | ⏰ Next buy in 1h (at ~19:28)
2026-07-30 20:28:33 INFO     | DCA_Bot              | 🛑 Max orders (3) reached. Stopping.
2026-07-30 20:28:33 INFO     | DCA_Bot              | ==================================================
2026-07-30 20:28:33 INFO     | DCA_Bot              |   📊 DCA STATISTICS
2026-07-30 20:28:33 INFO     | DCA_Bot              |   Runtime: 3:00:03.294135
2026-07-30 20:28:33 INFO     | DCA_Bot              |   Orders executed: 3
2026-07-30 20:28:33 INFO     | DCA_Bot              |   Orders skipped: 0
2026-07-30 20:28:33 INFO     | DCA_Bot              |   Total spent: $150.00
2026-07-30 20:28:33 INFO     | DCA_Bot              |   Total bought: 0.002314 BTC
2026-07-30 20:28:33 INFO     | DCA_Bot              |   Avg price: $64,815.15
2026-07-30 20:28:33 INFO     | DCA_Bot              | ==================================================
2026-07-30 20:45:14 INFO     | DCA_Bot              | Exchange client: BINANCE (testnet)
2026-07-30 20:45:18 INFO     | DCA_Bot              | AI: RouterAI ready (complex: deepseek/deepseek-chat, fast: openai/gpt-4o-mini)
2026-07-30 20:45:18 INFO     | DCA_Bot              | =======================================================
2026-07-30 20:45:18 INFO     | DCA_Bot              | 🚀 DCA Bot with AI STARTED
2026-07-30 20:45:18 INFO     | DCA_Bot              |    Symbol: BTC/USDT
2026-07-30 20:45:18 INFO     | DCA_Bot              |    Order amount: $50.00
2026-07-30 20:45:18 INFO     | DCA_Bot              |    Interval: every 1h
2026-07-30 20:45:18 INFO     | DCA_Bot              |    AI news check: ON
2026-07-30 20:45:18 INFO     | DCA_Bot              |    Max orders: 3
2026-07-30 20:45:18 INFO     | DCA_Bot              |    Max drawdown: 30.00%
2026-07-30 20:45:18 INFO     | DCA_Bot              | =======================================================
2026-07-30 20:45:18 INFO     | DCA_Bot              | ==================================================
2026-07-30 20:45:18 INFO     | DCA_Bot              |   📊 DCA STATISTICS
2026-07-30 20:45:18 INFO     | DCA_Bot              |   Runtime: 0:00:00.003001
2026-07-30 20:45:18 INFO     | DCA_Bot              |   Orders executed: 0
2026-07-30 20:45:18 INFO     | DCA_Bot              |   Orders skipped: 0
2026-07-30 20:45:18 INFO     | DCA_Bot              |   Total spent: $0.000000
2026-07-30 20:45:18 INFO     | DCA_Bot              |   Total bought: 0.000000 BTC
2026-07-30 20:45:18 INFO     | DCA_Bot              |   Avg price: $0.000000
2026-07-30 20:45:18 INFO     | DCA_Bot              | ==================================================
2026-07-30 20:45:18 INFO     | DCA_Bot              | 🤖 Asking AI to check news...
2026-07-30 20:45:18 INFO     | DCA_Bot              | No news fetched. AI will decide based on general knowledge.
2026-07-30 20:45:21 INFO     | DCA_Bot              | AI decision: BUY (confidence: 90%) — No red flags detected
2026-07-30 20:45:21 INFO     | DCA_Bot              | ✅ AI says BUY: No red flags detected
2026-07-30 20:45:23 INFO     | DCA_Bot              | 🔸 PAPER TRADE: Would buy $50 of BTC/USDT at $64,946.00
2026-07-30 20:45:24 INFO     | DCA_Bot              | ⏰ Next buy in 1h (at ~20:45)
2026-07-30 21:45:24 INFO     | DCA_Bot              | ==================================================
2026-07-30 21:45:24 INFO     | DCA_Bot              |   📊 DCA STATISTICS
2026-07-30 21:45:24 INFO     | DCA_Bot              |   Runtime: 1:00:06.122469
2026-07-30 21:45:24 INFO     | DCA_Bot              |   Orders executed: 1
2026-07-30 21:45:24 INFO     | DCA_Bot              |   Orders skipped: 0
2026-07-30 21:45:24 INFO     | DCA_Bot              |   Total spent: $50.00
2026-07-30 21:45:24 INFO     | DCA_Bot              |   Total bought: 0.000770 BTC
