2026-07-30 13:22:24 ERROR    | ArbitrageScanner     | load_markets() retry failed: 'latin-1' codec can't encode characters in position 0-2: ordinal not in range(256)
2026-07-30 13:22:24 WARNING  | ArbitrageScanner     | BYBIT: 0 markets loaded — skipping
2026-07-30 13:22:26 INFO     | ArbitrageScanner     | OKX: 4144 markets loaded
2026-07-30 13:22:26 ERROR    | ArbitrageScanner     | Only 1 exchanges loaded markets. Need at least 2.
2026-07-30 13:22:26 ERROR    | ArbitrageScanner     | No common symbols found! Check exchange connections.
2026-07-30 13:23:58 INFO     | ArbitrageScanner     | Exchange client created: BINANCE (LIVE TRADING)
2026-07-30 13:23:58 INFO     | ArbitrageScanner     | ✅ Connection to BINANCE OK
2026-07-30 13:23:58 INFO     | ArbitrageScanner     | ✅ Connected to BINANCE
2026-07-30 13:23:58 INFO     | ArbitrageScanner     | Exchange client created: BYBIT (LIVE TRADING)
2026-07-30 13:23:59 INFO     | ArbitrageScanner     | ✅ Connection to BYBIT OK
2026-07-30 13:23:59 INFO     | ArbitrageScanner     | ✅ Connected to BYBIT
2026-07-30 13:23:59 INFO     | ArbitrageScanner     | Exchange client created: OKX (LIVE TRADING)
2026-07-30 13:24:00 INFO     | ArbitrageScanner     | ✅ Connection to OKX OK
2026-07-30 13:24:00 INFO     | ArbitrageScanner     | ✅ Connected to OKX
2026-07-30 13:24:00 INFO     | ArbitrageScanner     | =======================================================
2026-07-30 13:24:00 INFO     | ArbitrageScanner     | 🚀 Arbitrage Scanner STARTED
2026-07-30 13:24:00 INFO     | ArbitrageScanner     |    Exchanges: BINANCE, BYBIT, OKX
2026-07-30 13:24:00 INFO     | ArbitrageScanner     |    Min spread: 0.40%
2026-07-30 13:24:00 INFO     | ArbitrageScanner     |    Scan interval: 30s
2026-07-30 13:24:00 INFO     | ArbitrageScanner     | =======================================================
2026-07-30 13:24:00 INFO     | ArbitrageScanner     | Loading markets... This may take a moment.
2026-07-30 13:24:00 WARNING  | ArbitrageScanner     | load_markets() failed: 'latin-1' codec can't encode characters in position 0-2: ordinal not in range(256). Retrying with reload...
2026-07-30 13:24:00 ERROR    | ArbitrageScanner     | load_markets() retry failed: 'latin-1' codec can't encode characters in position 0-2: ordinal not in range(256)
2026-07-30 13:24:00 WARNING  | ArbitrageScanner     | BINANCE: 0 markets loaded — skipping
2026-07-30 13:24:00 WARNING  | ArbitrageScanner     | load_markets() failed: 'latin-1' codec can't encode characters in position 0-2: ordinal not in range(256). Retrying with reload...
2026-07-30 13:24:01 ERROR    | ArbitrageScanner     | load_markets() retry failed: 'latin-1' codec can't encode characters in position 0-2: ordinal not in range(256)
